date,value,year,month,day,day_name,week_day,month_name,quarter,datetime,season,weather,temp,humidity,windspeed,casual,registered,rented_bikes_count,Profit,time,workingDay,hour,day_period
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 00:00:00,Winter,Clear,10.0,81.0,13.0,3.0,13.0,16.0,107.3287671,00:00:00,False,0.0,Night
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 01:00:00,Winter,Clear,9.0,80.0,0.0,8.0,32.0,40.0,275.0287671,01:00:00,False,1.0,Night
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 02:00:00,Winter,Clear,9.0,62.0,0.0,5.0,27.0,32.0,201.9287671,02:00:00,False,2.0,Night
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 03:00:00,Winter,Clear,10.0,75.0,0.0,3.0,10.0,13.0,94.42876712,03:00:00,False,3.0,Night
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 04:00:00,Winter,Clear,20.0,75.0,13.0,0.0,1.0,1.0,4.128767123,04:00:00,False,4.0,Night
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 05:00:00,Winter,Mist,10.0,62.0,6.0,0.0,1.0,1.0,4.128767123,05:00:00,False,5.0,Morning
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 06:00:00,Winter,Clear,20.0,62.0,0.0,2.0,0.0,2.0,34.22876712,06:00:00,False,6.0,Morning
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 07:00:00,Winter,Clear,8.0,62.0,13.0,1.0,2.0,3.0,25.62876712,07:00:00,False,7.0,Morning
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 08:00:00,Winter,Clear,10.0,62.0,0.0,1.0,7.0,8.0,47.12876712,08:00:00,False,8.0,Morning
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 09:00:00,Winter,Clear,20.0,76.0,0.0,8.0,6.0,14.0,163.2287671,09:00:00,False,9.0,Morning
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 10:00:00,Winter,Clear,16.0,76.0,13.0,12.0,24.0,36.0,309.4287671,10:00:00,False,10.0,Morning
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 11:00:00,Winter,Clear,15.0,81.0,19.0,26.0,30.0,56.0,576.0287671,11:00:00,False,11.0,Morning
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 12:00:00,Winter,Clear,20.0,77.0,19.0,29.0,55.0,84.0,735.1287671,12:00:00,False,12.0,Afternoon
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 13:00:00,Winter,Mist,19.0,62.0,13.0,47.0,47.0,94.0,1010.328767,13:00:00,False,13.0,Afternoon
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 14:00:00,Winter,Mist,19.0,72.0,19.0,35.0,71.0,106.0,907.1287671,14:00:00,False,14.0,Afternoon
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 15:00:00,Winter,Mist,18.0,77.0,20.0,40.0,70.0,110.0,988.8287671,15:00:00,False,15.0,Afternoon
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 16:00:00,Winter,Mist,17.0,82.0,20.0,41.0,52.0,93.0,928.6287671,16:00:00,False,16.0,Afternoon
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 17:00:00,Winter,Mist,18.0,82.0,19.0,15.0,52.0,67.0,481.4287671,17:00:00,False,17.0,Evening
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 18:00:00,Winter,Rainy,17.0,88.0,17.0,9.0,26.0,35.0,266.4287671,18:00:00,False,18.0,Evening
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 19:00:00,Winter,Rainy,17.0,62.0,17.0,6.0,31.0,37.0,236.3287671,19:00:00,False,19.0,Evening
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 20:00:00,Winter,Mist,16.0,62.0,17.0,11.0,25.0,36.0,296.5287671,20:00:00,False,20.0,Evening
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 21:00:00,Winter,Mist,20.0,87.0,13.0,3.0,31.0,34.0,184.7287671,21:00:00,False,21.0,Night
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 22:00:00,Winter,Mist,16.0,62.0,13.0,11.0,17.0,28.0,262.1287671,22:00:00,False,22.0,Night
2011-01-01,1,2011,1,1,Saturday,5,January,Q1,2011-01-01 23:00:00,Winter,Mist,20.0,62.0,13.0,15.0,24.0,39.0,361.0287671,23:00:00,False,23.0,Night
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 00:00:00,Winter,Mist,19.0,88.0,20.0,4.0,13.0,17.0,124.5287671,00:00:00,False,0.0,Night
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 01:00:00,Winter,Mist,18.0,62.0,13.0,1.0,16.0,17.0,85.82876712,01:00:00,False,1.0,Night
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 02:00:00,Winter,Mist,17.0,100.0,19.0,1.0,8.0,9.0,51.42876712,02:00:00,False,2.0,Night
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 03:00:00,Winter,Mist,20.0,62.0,13.0,2.0,4.0,6.0,51.42876712,03:00:00,False,3.0,Night
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 04:00:00,Winter,Mist,19.0,62.0,13.0,2.0,1.0,3.0,38.52876712,04:00:00,False,4.0,Night
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 06:00:00,Winter,Rainy,20.0,62.0,20.0,0.0,2.0,2.0,8.428767123,06:00:00,False,6.0,Morning
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 07:00:00,Winter,Clear,16.0,62.0,13.0,0.0,1.0,1.0,4.128767123,07:00:00,False,7.0,Morning
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 08:00:00,Winter,Rainy,16.0,71.0,15.0,0.0,8.0,8.0,34.22876712,08:00:00,False,8.0,Morning
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 09:00:00,Winter,Mist,16.0,76.0,13.0,1.0,19.0,20.0,98.72876712,09:00:00,False,9.0,Morning
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 10:00:00,Winter,Clear,15.0,81.0,15.0,7.0,46.0,53.0,318.0287671,10:00:00,False,10.0,Morning
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 11:00:00,Winter,Clear,15.0,62.0,17.0,16.0,54.0,70.0,507.2287671,11:00:00,False,11.0,Morning
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 12:00:00,Winter,Mist,15.0,66.0,13.0,20.0,73.0,93.0,657.7287671,12:00:00,False,12.0,Afternoon
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 13:00:00,Winter,Mist,15.0,62.0,9.0,11.0,64.0,75.0,464.2287671,13:00:00,False,13.0,Afternoon
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 14:00:00,Winter,Rainy,15.0,76.0,13.0,4.0,55.0,59.0,305.1287671,14:00:00,False,14.0,Afternoon
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 15:00:00,Winter,Rainy,14.0,81.0,11.0,19.0,55.0,74.0,563.1287671,15:00:00,False,15.0,Afternoon
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 16:00:00,Winter,Rainy,14.0,71.0,11.0,9.0,67.0,76.0,442.7287671,16:00:00,False,16.0,Afternoon
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 17:00:00,Winter,Clear,14.0,57.0,13.0,7.0,58.0,65.0,369.6287671,17:00:00,False,17.0,Evening
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 18:00:00,Winter,Clear,15.0,62.0,22.0,10.0,43.0,53.0,356.7287671,18:00:00,False,18.0,Evening
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 19:00:00,Winter,Clear,13.0,42.0,13.0,1.0,29.0,30.0,141.7287671,19:00:00,False,19.0,Evening
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 20:00:00,Winter,Clear,12.0,39.0,24.0,5.0,17.0,22.0,158.9287671,20:00:00,False,20.0,Evening
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 21:00:00,Winter,Clear,11.0,44.0,22.0,11.0,20.0,31.0,275.0287671,21:00:00,False,21.0,Night
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 22:00:00,Winter,Clear,10.0,44.0,20.0,0.0,9.0,9.0,38.52876712,22:00:00,False,22.0,Night
2011-01-02,2,2011,1,2,Sunday,6,January,Q1,2011-01-02 23:00:00,Winter,Clear,20.0,47.0,11.0,0.0,8.0,8.0,34.22876712,23:00:00,False,23.0,Night
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 00:00:00,Winter,Clear,20.0,44.0,24.0,0.0,5.0,5.0,21.32876712,00:00:00,True,0.0,Night
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 01:00:00,Winter,Clear,8.0,44.0,13.0,0.0,2.0,2.0,8.428767123,01:00:00,True,1.0,Night
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 04:00:00,Winter,Clear,7.0,62.0,26.0,0.0,1.0,1.0,4.128767123,04:00:00,True,4.0,Night
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 05:00:00,Winter,Clear,7.0,47.0,13.0,0.0,3.0,3.0,12.72876712,05:00:00,True,5.0,Morning
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 06:00:00,Winter,Clear,6.0,50.0,26.0,0.0,30.0,30.0,128.8287671,06:00:00,True,6.0,Morning
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 07:00:00,Winter,Clear,6.0,62.0,13.0,1.0,63.0,64.0,287.9287671,07:00:00,True,7.0,Morning
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 08:00:00,Winter,Clear,20.0,62.0,13.0,1.0,153.0,154.0,674.9287671,08:00:00,True,8.0,Morning
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 09:00:00,Winter,Clear,7.0,43.0,13.0,7.0,81.0,88.0,468.5287671,09:00:00,True,9.0,Morning
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 10:00:00,Winter,Clear,7.0,43.0,13.0,11.0,33.0,44.0,330.9287671,10:00:00,True,10.0,Morning
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 11:00:00,Winter,Clear,8.0,62.0,13.0,10.0,41.0,51.0,348.1287671,11:00:00,True,11.0,Morning
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 12:00:00,Winter,Clear,20.0,62.0,20.0,13.0,48.0,61.0,429.8287671,12:00:00,True,12.0,Afternoon
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 13:00:00,Winter,Clear,10.0,35.0,13.0,8.0,53.0,61.0,365.3287671,13:00:00,True,13.0,Afternoon
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 14:00:00,Winter,Clear,11.0,30.0,19.0,11.0,66.0,77.0,472.8287671,14:00:00,True,14.0,Afternoon
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 15:00:00,Winter,Clear,20.0,30.0,17.0,14.0,58.0,72.0,490.0287671,15:00:00,True,15.0,Afternoon
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 16:00:00,Winter,Clear,11.0,62.0,13.0,9.0,67.0,76.0,442.7287671,16:00:00,True,16.0,Afternoon
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 17:00:00,Winter,Clear,10.0,30.0,15.0,11.0,146.0,157.0,816.8287671,17:00:00,True,17.0,Evening
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 18:00:00,Winter,Clear,10.0,62.0,7.0,9.0,148.0,157.0,791.0287671,18:00:00,True,18.0,Evening
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 19:00:00,Winter,Clear,8.0,47.0,0.0,8.0,102.0,110.0,576.0287671,19:00:00,True,19.0,Evening
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 20:00:00,Winter,Clear,8.0,62.0,7.0,3.0,49.0,52.0,262.1287671,20:00:00,True,20.0,Evening
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 21:00:00,Winter,Clear,20.0,62.0,9.0,3.0,49.0,52.0,262.1287671,21:00:00,True,21.0,Night
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 22:00:00,Winter,Clear,6.0,69.0,13.0,0.0,20.0,20.0,85.82876712,22:00:00,True,22.0,Night
2011-01-03,3,2011,1,3,Monday,0,January,Q1,2011-01-03 23:00:00,Winter,Clear,7.0,55.0,13.0,1.0,11.0,12.0,64.32876712,23:00:00,True,23.0,Night
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 00:00:00,Winter,Clear,7.0,62.0,7.0,0.0,5.0,5.0,21.32876712,00:00:00,True,0.0,Night
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 01:00:00,Winter,Clear,7.0,59.0,7.0,0.0,2.0,2.0,8.428767123,01:00:00,True,1.0,Night
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 02:00:00,Winter,Clear,6.0,63.0,9.0,0.0,1.0,1.0,4.128767123,02:00:00,True,2.0,Night
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 04:00:00,Winter,Clear,20.0,63.0,13.0,0.0,2.0,2.0,8.428767123,04:00:00,True,4.0,Night
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 05:00:00,Winter,Clear,20.0,68.0,7.0,0.0,4.0,4.0,17.02876712,05:00:00,True,5.0,Morning
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 06:00:00,Winter,Clear,5.0,74.0,13.0,0.0,36.0,36.0,154.6287671,06:00:00,True,6.0,Morning
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 07:00:00,Winter,Clear,5.0,62.0,9.0,2.0,92.0,94.0,429.8287671,07:00:00,True,7.0,Morning
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 08:00:00,Winter,Clear,6.0,69.0,13.0,2.0,177.0,179.0,795.3287671,08:00:00,True,8.0,Morning
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 09:00:00,Winter,Clear,7.0,64.0,15.0,2.0,98.0,100.0,455.6287671,09:00:00,True,9.0,Morning
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 10:00:00,Winter,Mist,7.0,69.0,13.0,5.0,37.0,42.0,244.9287671,10:00:00,True,10.0,Morning
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 11:00:00,Winter,Clear,9.0,51.0,20.0,7.0,50.0,57.0,335.2287671,11:00:00,True,11.0,Morning
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 12:00:00,Winter,Clear,20.0,51.0,11.0,12.0,66.0,78.0,490.0287671,12:00:00,True,12.0,Afternoon
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 13:00:00,Winter,Clear,10.0,56.0,13.0,18.0,79.0,97.0,649.1287671,13:00:00,True,13.0,Afternoon
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 14:00:00,Winter,Clear,11.0,52.0,15.0,9.0,54.0,63.0,386.8287671,14:00:00,True,14.0,Afternoon
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 15:00:00,Winter,Clear,11.0,52.0,17.0,17.0,48.0,65.0,498.6287671,15:00:00,True,15.0,Afternoon
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 16:00:00,Winter,Clear,12.0,62.0,13.0,15.0,68.0,83.0,550.2287671,16:00:00,True,16.0,Afternoon
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 17:00:00,Winter,Clear,11.0,48.0,15.0,10.0,202.0,212.0,1040.428767,17:00:00,True,17.0,Evening
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 18:00:00,Winter,Clear,11.0,48.0,13.0,3.0,179.0,182.0,821.1287671,18:00:00,True,18.0,Evening
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 19:00:00,Winter,Clear,10.0,48.0,7.0,2.0,110.0,112.0,507.2287671,19:00:00,True,19.0,Evening
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 20:00:00,Winter,Clear,10.0,48.0,7.0,1.0,53.0,54.0,244.9287671,20:00:00,True,20.0,Evening
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 21:00:00,Winter,Clear,9.0,64.0,0.0,0.0,48.0,48.0,206.2287671,21:00:00,True,21.0,Night
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 22:00:00,Winter,Clear,20.0,62.0,13.0,1.0,34.0,35.0,163.2287671,22:00:00,True,22.0,Night
2011-01-04,4,2011,1,4,Tuesday,1,January,Q1,2011-01-04 23:00:00,Winter,Clear,8.0,69.0,6.0,2.0,9.0,11.0,72.92876712,23:00:00,True,23.0,Night
2011-01-05,5,2011,1,5,Wednesday,2,January,Q1,2011-01-05 00:00:00,Winter,Clear,8.0,64.0,0.0,0.0,6.0,6.0,25.62876712,00:00:00,True,0.0,Night
2011-01-05,5,2011,1,5,Wednesday,2,January,Q1,2011-01-05 01:00:00,Winter,Clear,20.0,74.0,6.0,0.0,6.0,6.0,25.62876712,01:00:00,True,1.0,Night
2011-01-05,5,2011,1,5,Wednesday,2,January,Q1,2011-01-05 02:00:00,Winter,Clear,7.0,74.0,13.0,0.0,2.0,2.0,8.428767123,02:00:00,True,2.0,Night
2011-01-05,5,2011,1,5,Wednesday,2,January,Q1,2011-01-05 04:00:00,Winter,Clear,10.0,48.0,15.0,0.0,2.0,2.0,8.428767123,04:00:00,True,4.0,Night
